state,utility_clean_names,service_type,utility_type,year,month,number_of_customers_total,number_of_disconnections,number_of_reconnections,disconnection_rate,reconnection_rate,State,Utility Name,Year,Month,Total Disconnections,Total Connections,Disconnection Rate
Alabama,City of Dothan,Electric,Muni,2017,June,25808,1757,1179,0.0680796652200868,0.0456835089894606,Alabama,City of Dothan,2017,June,1757,25808,0.0680796652200868
Alabama,City of Dothan,Electric,Muni,2017,July,25703,2253,1275,0.0876551375325838,0.0496051044625141,Alabama,City of Dothan,2017,July,2253,25703,0.0876551375325838
Alabama,City of Dothan,Electric,Muni,2017,August,25817,3133,1833,0.121354146492621,0.0709997288608281,Alabama,City of Dothan,2017,August,3133,25817,0.121354146492621
Alabama,City of Dothan,Electric,Muni,2017,September,25710,2976,1981,0.115752625437573,0.0770517308440296,Alabama,City of Dothan,2017,September,2976,25710,0.115752625437573
Alabama,City of Dothan,Electric,Muni,2017,October,25615,2750,1780,0.107358969353894,0.0694905328908843,Alabama,City of Dothan,2017,October,2750,25615,0.107358969353894
Alabama,City of Dothan,Electric,Muni,2017,November,25499,2191,1401,0.0859249382328719,0.054943331111024,Alabama,City of Dothan,2017,November,2191,25499,0.0859249382328719
Alabama,City of Dothan,Electric,Muni,2017,December,25450,1824,1082,0.0716699410609037,0.0425147347740668,Alabama,City of Dothan,2017,December,1824,25450,0.0716699410609037
Alabama,City of Dothan,Electric,Muni,2018,January,25721,1565,932,0.0608452237471327,0.0362349830877493,Alabama,City of Dothan,2018,January,1565,25721,0.0608452237471327
Alabama,City of Dothan,Electric,Muni,2018,February,25535,2293,1430,0.0897983160368122,0.056001566477384,Alabama,City of Dothan,2018,February,2293,25535,0.0897983160368122
Alabama,City of Dothan,Electric,Muni,2018,March,25736,1999,1292,0.0776732981038234,0.0502020516008704,Alabama,City of Dothan,2018,March,1999,25736,0.0776732981038234
Alabama,City of Dothan,Electric,Muni,2018,April,25582,2000,1239,0.0781799702916113,0.0484324915956532,Alabama,City of Dothan,2018,April,2000,25582,0.0781799702916113
Alabama,City of Dothan,Electric,Muni,2018,May,25702,1603,1013,0.0623686872616917,0.0394132752314995,Alabama,City of Dothan,2018,May,1603,25702,0.0623686872616917
Alabama,City of Dothan,Electric,Muni,2018,June,25789,2110,1368,0.0818178293070689,0.0530458722711234,Alabama,City of Dothan,2018,June,2110,25789,0.0818178293070689
Alabama,City of Dothan,Electric,Muni,2018,July,25707,1828,1132,0.0711090364492162,0.0440346987201929,Alabama,City of Dothan,2018,July,1828,25707,0.0711090364492162
Alabama,City of Dothan,Electric,Muni,2018,August,25919,1761,1185,0.0679424360507736,0.0457193564566534,Alabama,City of Dothan,2018,August,1761,25919,0.0679424360507736
Alabama,City of Dothan,Electric,Muni,2018,September,25656,2276,770,0.0887121920798254,0.0300124727159339,Alabama,City of Dothan,2018,September,2276,25656,0.0887121920798254
Alabama,City of Dothan,Electric,Muni,2018,October,25656,2044,1533,0.0796694730277518,0.0597521047708139,Alabama,City of Dothan,2018,October,2044,25656,0.0796694730277518
Alabama,City of Dothan,Electric,Muni,2018,November,25636,2132,1420,0.0831643002028398,0.0553908566078952,Alabama,City of Dothan,2018,November,2132,25636,0.0831643002028398
Alabama,City of Dothan,Electric,Muni,2018,December,25604,1654,1177,0.0645992813622871,0.0459693797844087,Alabama,City of Dothan,2018,December,1654,25604,0.0645992813622871
Alabama,City of Dothan,Electric,Muni,2019,January,25838,2221,1485,0.0859586655313879,0.057473488660113,Alabama,City of Dothan,2019,January,2221,25838,0.0859586655313879
Alabama,City of Dothan,Electric,Muni,2019,February,25805,2245,1537,0.0869986436737067,0.0595621003681457,Alabama,City of Dothan,2019,February,2245,25805,0.0869986436737067
Alabama,City of Dothan,Electric,Muni,2019,March,25797,1839,1284,0.071287358995232,0.0497732294452843,Alabama,City of Dothan,2019,March,1839,25797,0.071287358995232
Alabama,City of Dothan,Electric,Muni,2019,April,25769,1988,1484,0.0771469595250107,0.0575885754200784,Alabama,City of Dothan,2019,April,1988,25769,0.0771469595250107
Alabama,City of Dothan,Electric,Muni,2019,May,25782,1640,1123,0.0636102707315181,0.0435575207509115,Alabama,City of Dothan,2019,May,1640,25782,0.0636102707315181
Alabama,City of Dothan,Electric,Muni,2019,June,25819,1748,1246,0.0677020798636663,0.0482590340446958,Alabama,City of Dothan,2019,June,1748,25819,0.0677020798636663
Alabama,City of Dothan,Electric,Muni,2019,July,25829,1950,1331,0.0754965349026288,0.0515312245925123,Alabama,City of Dothan,2019,July,1950,25829,0.0754965349026288
Alabama,City of Dothan,Electric,Muni,2019,August,26028,2011,1360,0.0772629475948978,0.0522514215460274,Alabama,City of Dothan,2019,August,2011,26028,0.0772629475948978
Alabama,City of Dothan,Electric,Muni,2019,September,25718,2084,1513,0.0810327397153744,0.0588303911657205,Alabama,City of Dothan,2019,September,2084,25718,0.0810327397153744
Alabama,City of Dothan,Electric,Muni,2019,October,25935,1686,1205,0.0650086755349913,0.0464623096202044,Alabama,City of Dothan,2019,October,1686,25935,0.0650086755349913
Alabama,City of Dothan,Electric,Muni,2019,November,25659,1832,1290,0.0713979500370241,0.0502747573950661,Alabama,City of Dothan,2019,November,1832,25659,0.0713979500370241
Alabama,City of Dothan,Electric,Muni,2019,December,25773,1862,1426,0.072246149070733,0.0553292205020758,Alabama,City of Dothan,2019,December,1862,25773,0.072246149070733
Alabama,City of Dothan,Electric,Muni,2020,January,25964,1763,1389,0.0679017100600832,0.0534971498998613,Alabama,City of Dothan,2020,January,1763,25964,0.0679017100600832
Alabama,City of Dothan,Electric,Muni,2020,February,25807,1846,1518,0.0715309799666757,0.0588212500484365,Alabama,City of Dothan,2020,February,1846,25807,0.0715309799666757
Alabama,City of Dothan,Electric,Muni,2020,March,25853,505,530,0.0195335164197579,0.0205005221831122,Alabama,City of Dothan,2020,March,505,25853,0.0195335164197579
Alabama,City of Dothan,Electric,Muni,2020,April,25874,0,20,0,0.000772976733400325,Alabama,City of Dothan,2020,April,0,25874,0
Alabama,City of Dothan,Electric,Muni,2020,May,25971,1525,979,0.0587193408032036,0.0376958915713681,Alabama,City of Dothan,2020,May,1525,25971,0.0587193408032036
