State,Utility Name,Utility Type,Service Type,Year,Month,Total Disconnections,Total Reconnections,Total Connections,Disconnection Rate
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2022,June,,,2305,
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2022,July,,,2305,
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2022,August,,,2305,
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2022,September,,,2305,
Arizona,The Morenci Water and Electric Co.,Utility Cooperative,Electric,2022,October,,,2305,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2020,January,,,394673,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2020,February,,,394673,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2020,March,,,394673,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2020,April,,,394673,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2020,May,,,394673,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2020,June,,,394673,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2020,July,,,394673,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2020,August,,,394673,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2020,September,,,394673,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2020,October,,,394673,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2020,November,,,394673,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2020,December,,,394673,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2021,January,0,,398938,0
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2021,February,0,,398938,0
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2021,March,0,,398938,0
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2021,April,3249,,398938,0.008144123
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2021,May,1690,,398938,0.004236247
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2021,June,0,,398938,0
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2021,July,0,,398938,0
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2021,August,0,,398938,0
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2021,September,0,,398938,0
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2021,October,0,,398938,0
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2021,November,0,,398938,0
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2021,December,1967,,398938,0.004930591
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2022,January,,,403028,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2022,February,,,403028,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2022,March,,,403028,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2022,April,,,403028,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2022,May,,,403028,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2022,June,,,403028,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2022,July,,,403028,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2022,August,,,403028,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2022,September,,,403028,
Arizona,Tuscon Electric Power,Investor Owned Utility,Electric,2022,October,,,403028,
Arizona,UNS Electric,Investor Owned Utility,Electric,2020,January,,,238932,
Arizona,UNS Electric,Investor Owned Utility,Electric,2020,February,,,238932,
Arizona,UNS Electric,Investor Owned Utility,Electric,2020,March,,,238932,
Arizona,UNS Electric,Investor Owned Utility,Electric,2020,April,,,238932,
Arizona,UNS Electric,Investor Owned Utility,Electric,2020,May,,,238932,
Arizona,UNS Electric,Investor Owned Utility,Electric,2020,June,,,238932,
Arizona,UNS Electric,Investor Owned Utility,Electric,2020,July,,,238932,
Arizona,UNS Electric,Investor Owned Utility,Electric,2020,August,,,238932,
Arizona,UNS Electric,Investor Owned Utility,Electric,2020,September,,,238932,
Arizona,UNS Electric,Investor Owned Utility,Electric,2020,October,,,238932,
Arizona,UNS Electric,Investor Owned Utility,Electric,2020,November,,,238932,
Arizona,UNS Electric,Investor Owned Utility,Electric,2020,December,,,238932,
Arizona,UNS Electric,Investor Owned Utility,Electric,2021,January,0,,242571,0
Arizona,UNS Electric,Investor Owned Utility,Electric,2021,February,0,,242571,0
Arizona,UNS Electric,Investor Owned Utility,Electric,2021,March,0,,242571,0
Arizona,UNS Electric,Investor Owned Utility,Electric,2021,April,651,,242571,0.00268375
Arizona,UNS Electric,Investor Owned Utility,Electric,2021,May,379,,242571,0.001562429
