State,Month,Year,Total Disconnections,Total Connections,Disconnection Rate
Michigan,March,2021,10193.0,500000.0,0.10192999999999999
Michigan,May,2020,4523.0,500000.0,0.04523
Michigan,May,2021,15301.0,500000.0,0.15301
Michigan,November,2020,5044.0,500000.0,0.05044
Michigan,November,2021,17724.0,500000.0,0.17724
Michigan,October,2020,5430.0,500000.0,0.054299999999999994
Michigan,October,2021,19647.0,500000.0,0.19647
Michigan,September,2020,3875.0,500000.0,0.03875
Michigan,September,2021,21346.0,500000.0,0.21345999999999998
Minnesota,April,2020,0.0,600000.0,0.0
Minnesota,April,2021,0.0,600000.0,0.0
Minnesota,August,2020,0.0,600000.0,0.0
Minnesota,August,2021,5093.0,600000.0,0.05093
Minnesota,December,2020,0.0,600000.0,0.0
Minnesota,December,2021,687.0,600000.0,0.006869999999999999
Minnesota,February,2020,1701.0,600000.0,0.01701
Minnesota,February,2021,0.0,600000.0,0.0
Minnesota,January,2020,1629.0,600000.0,0.01629
Minnesota,January,2021,0.0,600000.0,0.0
Minnesota,July,2020,0.0,600000.0,0.0
Minnesota,July,2021,0.0,600000.0,0.0
Minnesota,June,2020,0.0,600000.0,0.0
Minnesota,June,2021,0.0,600000.0,0.0
Minnesota,March,2020,1132.0,600000.0,0.01132
Minnesota,March,2021,0.0,600000.0,0.0
Minnesota,May,2020,0.0,600000.0,0.0
Minnesota,May,2021,0.0,600000.0,0.0
Minnesota,November,2020,0.0,600000.0,0.0
Minnesota,November,2021,1139.0,600000.0,0.01139
Minnesota,October,2020,0.0,600000.0,0.0
Minnesota,October,2021,1241.0,600000.0,0.012410000000000001
Minnesota,September,2020,0.0,600000.0,0.0
Minnesota,September,2021,4369.0,600000.0,0.04369
Missouri,April,2020,0.0,900000.0,0.0
Missouri,April,2021,10251.0,900000.0,0.10251000000000002
Missouri,August,2020,18849.0,900000.0,0.18849
Missouri,August,2021,17265.0,900000.0,0.17265000000000003
Missouri,December,2020,1705.0,900000.0,0.01705
Missouri,December,2021,5904.0,900000.0,0.05904
Missouri,February,2020,4116.0,900000.0,0.04116000000000001
Missouri,February,2021,1384.0,900000.0,0.013840000000000002
Missouri,January,2020,3641.0,900000.0,0.03641
Missouri,January,2021,1027.0,900000.0,0.01027
Missouri,July,2020,7457.0,900000.0,0.07457
Missouri,July,2021,12788.0,900000.0,0.12787999999999997
Missouri,June,2020,0.0,900000.0,0.0
Missouri,June,2021,14314.0,900000.0,0.14314000000000002
Missouri,March,2020,7643.0,900000.0,0.07643000000000001
Missouri,March,2021,8722.0,900000.0,0.08721999999999998
Missouri,May,2020,0.0,900000.0,0.0
Missouri,May,2021,19902.0,900000.0,0.19902
Missouri,November,2020,8234.0,900000.0,0.08234000000000001
Missouri,November,2021,5288.0,900000.0,0.052879999999999996
Missouri,October,2020,18630.0,900000.0,0.18630000000000002
Missouri,October,2021,18542.0,900000.0,0.18542000000000003
Missouri,September,2020,19711.0,900000.0,0.19711
Missouri,September,2021,20237.0,900000.0,0.20236999999999997
New Hampshire,April,2020,0.0,500000.0,0.0
New Hampshire,April,2021,1020.0,500000.0,0.0102
New Hampshire,August,2020,0.0,500000.0,0.0
New Hampshire,August,2021,1094.0,500000.0,0.01094
New Hampshire,December,2020,40.0,500000.0,0.0004000000000000001
New Hampshire,February,2020,128.0,400000.0,0.0012799999999999999
New Hampshire,February,2021,35.0,500000.0,0.00035000000000000005
New Hampshire,January,2020,101.0,500000.0,0.0010099999999999998
New Hampshire,January,2021,102.0,500000.0,0.00102
New Hampshire,July,2020,0.0,500000.0,0.0
New Hampshire,July,2021,988.0,500000.0,0.00988
New Hampshire,June,2020,0.0,500000.0,0.0
New Hampshire,June,2021,594.0,500000.0,0.00594
New Hampshire,March,2020,86.0,500000.0,0.00086
