"","State","Utility Name","Year","Month","Total Connections","Total Disconnections","Disconnection Rate","cbd"
"512","IA","black_hills_energy_f_k_a_aquila_gas_only",2021,"October",284,143250,0.19825479930192,NA
"513","IA","black_hills_energy_f_k_a_aquila_gas_only",2021,"September",260,143243,0.181509742186355,NA
"514","IA","black_hills_energy_f_k_a_aquila_gas_only",2022,"April",215,144751,0.148530925520376,NA
"515","IA","black_hills_energy_f_k_a_aquila_gas_only",2022,"August",406,143601,0.28272783615713,NA
"516","IA","black_hills_energy_f_k_a_aquila_gas_only",2022,"February",47,145199,0.0323693689350478,NA
"517","IA","black_hills_energy_f_k_a_aquila_gas_only",2022,"January",18,144811,0.0124299949589465,NA
"518","IA","black_hills_energy_f_k_a_aquila_gas_only",2022,"July",514,143484,0.35822809511862,NA
"519","IA","black_hills_energy_f_k_a_aquila_gas_only",2022,"June",670,144025,0.465197014407221,NA
"520","IA","black_hills_energy_f_k_a_aquila_gas_only",2022,"March",34,145271,0.0234045335958312,NA
"521","IA","black_hills_energy_f_k_a_aquila_gas_only",2022,"May",998,144598,0.690189352549828,NA
"522","IA","black_hills_energy_gas_only",2020,"December",1628,143709,1.13284484618222,NA
"523","IA","black_hills_energy_gas_only",2021,"March",81,144250,0.0561525129982669,NA
"524","IA","ip_l_electric",2013,"December",224,407535,0.0549646042671182,NA
"525","IA","ip_l_electric",2013,"November",138,407339,0.0338784157667201,NA
"526","IA","ip_l_electric",2013,"October",414,407141,0.101684674351146,NA
