State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate,code
Massachusetts,June,2021,109,2881137,0.04662,MA
Massachusetts,June,2022,3925,2903080,1.21894,MA
Massachusetts,March,2019,1317,3151343,0.45282,MA
Massachusetts,March,2020,620,3194817,0.22804,MA
Massachusetts,March,2021,67,2883490,0.02402,MA
Massachusetts,March,2022,769,2895079,0.28665,MA
Massachusetts,May,2019,8593,3149750,2.97081,MA
Massachusetts,May,2020,0,3197106,0.00000,MA
Massachusetts,May,2021,90,2882223,0.03610,MA
Massachusetts,May,2022,4648,2901792,1.25828,MA
Massachusetts,November,2019,1207,3177961,0.37692,MA
Massachusetts,November,2020,64,2873924,0.01841,MA
Massachusetts,November,2021,2398,2883637,0.55474,MA
Massachusetts,October,2019,5563,3165264,1.71809,MA
Massachusetts,October,2020,30,2868965,0.00706,MA
Massachusetts,October,2021,4671,2877422,1.28978,MA
Massachusetts,September,2019,9920,3155738,2.88143,MA
Massachusetts,September,2020,10,3191297,0.02476,MA
Massachusetts,September,2021,5626,2872640,1.67916,MA
Michigan,April,2020,5752,500000,0.05752,MI
Michigan,April,2021,12492,500000,0.12492,MI
Michigan,August,2020,4396,500000,0.04396,MI
Michigan,August,2021,20531,500000,0.20531,MI
Michigan,December,2020,4395,500000,0.04395,MI
Michigan,December,2021,16267,500000,0.16267,MI
Michigan,February,2021,7304,500000,0.07304,MI
Michigan,January,2021,5911,500000,0.05911,MI
Michigan,July,2020,4067,500000,0.04067,MI
Michigan,July,2021,19027,500000,0.19027,MI
Michigan,June,2020,4116,500000,0.04116,MI
Michigan,June,2021,18474,500000,0.18474,MI
Michigan,March,2021,10193,500000,0.10193,MI
Michigan,May,2020,4523,500000,0.04523,MI
Michigan,May,2021,15301,500000,0.15301,MI
Michigan,November,2020,5044,500000,0.05044,MI
Michigan,November,2021,17724,500000,0.17724,MI
Michigan,October,2020,5430,500000,0.05430,MI
Michigan,October,2021,19647,500000,0.19647,MI
Michigan,September,2020,3875,500000,0.03875,MI
Michigan,September,2021,21346,500000,0.21346,MI
Minnesota,April,2020,0,600000,0.00000,MN
Minnesota,April,2021,0,600000,0.00000,MN
Minnesota,August,2020,0,600000,0.00000,MN
Minnesota,August,2021,5093,600000,0.05093,MN
Minnesota,December,2020,0,600000,0.00000,MN
Minnesota,December,2021,687,600000,0.00687,MN
Minnesota,February,2020,1701,600000,0.01701,MN
Minnesota,February,2021,0,600000,0.00000,MN
Minnesota,January,2020,1629,600000,0.01629,MN
Minnesota,January,2021,0,600000,0.00000,MN
Minnesota,July,2020,0,600000,0.00000,MN
Minnesota,July,2021,0,600000,0.00000,MN
Minnesota,June,2020,0,600000,0.00000,MN
Minnesota,June,2021,0,600000,0.00000,MN
Minnesota,March,2020,1132,600000,0.01132,MN
Minnesota,March,2021,0,600000,0.00000,MN
Minnesota,May,2020,0,600000,0.00000,MN
Minnesota,May,2021,0,600000,0.00000,MN
Minnesota,November,2020,0,600000,0.00000,MN
Minnesota,November,2021,1139,600000,0.01139,MN
Minnesota,October,2020,0,600000,0.00000,MN
Minnesota,October,2021,1241,600000,0.01241,MN
Minnesota,September,2020,0,600000,0.00000,MN
Minnesota,September,2021,4369,600000,0.04369,MN
Missouri,April,2020,0,900000,0.00000,MO
Missouri,April,2021,10251,900000,0.10251,MO
Missouri,August,2020,18849,900000,0.18849,MO
Missouri,August,2021,17265,900000,0.17265,MO
Missouri,December,2020,1705,900000,0.01705,MO
Missouri,December,2021,5904,900000,0.05904,MO
Missouri,February,2020,4116,900000,0.04116,MO
Missouri,February,2021,1384,900000,0.01384,MO
Missouri,January,2020,3641,900000,0.03641,MO
Missouri,January,2021,1027,900000,0.01027,MO
Missouri,July,2020,7457,900000,0.07457,MO
Missouri,July,2021,12788,900000,0.12788,MO
Missouri,June,2020,0,900000,0.00000,MO
Missouri,June,2021,14314,900000,0.14314,MO
Missouri,March,2020,7643,900000,0.07643,MO
Missouri,March,2021,8722,900000,0.08722,MO
Missouri,May,2020,0,900000,0.00000,MO
Missouri,May,2021,19902,900000,0.19902,MO
Missouri,November,2020,8234,900000,0.08234,MO
Missouri,November,2021,5288,900000,0.05288,MO
Missouri,October,2020,18630,900000,0.18630,MO
Missouri,October,2021,18542,900000,0.18542,MO
Missouri,September,2020,19711,900000,0.19711,MO
Missouri,September,2021,20237,900000,0.20237,MO
New Hampshire,April,2020,0,500000,0.00000,NH
New Hampshire,April,2021,1020,500000,0.01020,NH
New Hampshire,August,2020,0,500000,0.00000,NH
New Hampshire,August,2021,1094,500000,0.01094,NH
New Hampshire,December,2020,40,500000,0.00040,NH
New Hampshire,February,2020,128,400000,0.00128,NH
New Hampshire,February,2021,35,500000,0.00035,NH
New Hampshire,January,2020,101,500000,0.00101,NH
New Hampshire,January,2021,102,500000,0.00102,NH
New Hampshire,July,2020,0,500000,0.00000,NH
New Hampshire,July,2021,988,500000,0.00988,NH
New Hampshire,June,2020,0,500000,0.00000,NH
New Hampshire,June,2021,594,500000,0.00594,NH
New Hampshire,March,2020,86,500000,0.00086,NH
New Hampshire,March,2021,56,500000,0.00056,NH
New Hampshire,May,2020,0,500000,0.00000,NH
New Hampshire,May,2021,1154,500000,0.01154,NH
New Hampshire,November,2020,229,500000,0.00229,NH
New Hampshire,November,2021,426,300000,0.00426,NH
New Hampshire,October,2020,26,500000,0.00026,NH
