,State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate,code
417,California,February,2021,0,39512223,0,CA
418,Colorado,February,2021,739,5758736,0.0001,CO
419,Connecticut,February,2021,0,3565287,0,CT
420,Florida,February,2021,87445,21477737,0.0041,FL
421,Georgia,February,2021,16858,10617423,0.0016,GA
422,Illinois,February,2021,7,12671821,0,IL
423,Indiana,February,2021,7233,6732219,0.0011,IN
424,Iowa,February,2021,346,3155070,0.0001,IA
425,Kentucky,February,2021,799,4467673,0.0002,KY
426,Maine,February,2021,0,1344212,0,ME
427,Maryland,February,2021,582,6045680,0.0001,MD
428,Massachusetts,February,2021,0,6892503,0,MA
429,Michigan,February,2021,4384,9986857,0.0004,MI
430,Minnesota,February,2021,0,5639632,0,MN
431,Missouri,February,2021,1161,6137428,0.0002,MO
432,New Hampshire,February,2021,34,1359711,0,NH
433,New Mexico,February,2021,0,2096829,0,NM
434,New York,February,2021,0,19453561,0,NY
435,North Carolina,February,2021,15069,10488084,0.0014,NC
436,North Dakota,February,2021,206,762062,0.0003,ND
437,Ohio,February,2021,9800,11689100,0.0008,OH
438,Oregon,February,2021,0,4217737,0,OR
439,Pennsylvania,February,2021,527,12801989,0,PA
440,Rhode Island,February,2021,0,1059361,0,RI
441,South Carolina,February,2021,3364,5148714,0.0007,SC
442,South Dakota,February,2021,3,884659,0,SD
443,Utah,February,2021,186,3205958,0.0001,UT
444,Vermont,February,2021,0,623989,0,VT
445,Washington,February,2021,0,7614893,0,WA
446,Washington D.C.,February,2021,0,705749,0,WA
447,Wisconsin,February,2021,0,5822434,0,WI
448,Arizona,March,2021,6574,4903185,0.0013,AZ
449,California,March,2021,0,39512223,0,CA
450,Colorado,March,2021,991,5758736,0.0002,CO
451,Connecticut,March,2021,0,3565287,0,CT
452,Florida,March,2021,90581,21477737,0.0042,FL
453,Georgia,March,2021,17965,10617423,0.0017,GA
454,Illinois,March,2021,2,12671821,0,IL
455,Indiana,March,2021,16920,6732219,0.0025,IN
456,Iowa,March,2021,2564,3155070,0.0008,IA
457,Kentucky,March,2021,2048,4467673,0.0005,KY
458,Maine,March,2021,0,1344212,0,ME
459,Maryland,March,2021,1252,6045680,0.0002,MD
460,Massachusetts,March,2021,0,6892503,0,MA
461,Michigan,March,2021,6144,9986857,0.0006,MI
462,Minnesota,March,2021,0,5639632,0,MN
463,Missouri,March,2021,6572,6137428,0.0011,MO
464,New Hampshire,March,2021,51,1359711,0,NH
465,New Mexico,March,2021,0,2096829,0,NM
466,New York,March,2021,0,19453561,0,NY
467,North Carolina,March,2021,2,10488084,0,NC
468,North Dakota,March,2021,383,762062,0.0005,ND
469,Ohio,March,2021,25292,11689100,0.0022,OH
470,Oregon,March,2021,0,4217737,0,OR
471,Pennsylvania,March,2021,2084,12801989,0.0002,PA
472,Rhode Island,March,2021,0,1059361,0,RI
473,South Carolina,March,2021,7401,5148714,0.0014,SC
474,South Dakota,March,2021,166,884659,0.0002,SD
475,Utah,March,2021,273,3205958,0.0001,UT
476,Vermont,March,2021,0,623989,0,VT
