State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate
Minnesota,July,2021,0,5639632,0.0000
Missouri,July,2021,7477,6137428,0.0012
New Hampshire,July,2021,624,1359711,0.0005
New Mexico,July,2021,0,2096829,0.0000
New York,July,2021,0,19453561,0.0000
North Carolina,July,2021,8470,10488084,0.0008
North Dakota,July,2021,941,762062,0.0012
Ohio,July,2021,0,11689100,0.0000
Oregon,July,2021,0,4217737,0.0000
Pennsylvania,July,2021,28191,12801989,0.0022
Rhode Island,July,2021,1243,1059361,0.0012
South Carolina,July,2021,2677,5148714,0.0005
South Dakota,July,2021,0,884659,0.0000
Utah,July,2021,139,3205958,0.0000
Vermont,July,2021,1,623989,0.0000
Washington,July,2021,0,7614893,0.0000
Washington D.C.,July,2021,0,705749,0.0000
Wisconsin,July,2021,0,5822434,0.0000
Arizona,August,2021,0,4903185,0.0000
California,August,2021,0,39512223,0.0000
Colorado,August,2021,895,5758736,0.0002
Connecticut,August,2021,0,3565287,0.0000
Florida,August,2021,121307,21477737,0.0056
Georgia,August,2021,20746,10617423,0.0020
Illinois,August,2021,31456,12671821,0.0025
Indiana,August,2021,15172,6732219,0.0023
Iowa,August,2021,2392,3155070,0.0008
Kentucky,August,2021,0,4467673,0.0000
Maine,August,2021,0,1344212,0.0000
Maryland,August,2021,5327,6045680,0.0009
Massachusetts,August,2021,4598,6892503,0.0007
Michigan,August,2021,7530,9986857,0.0008
Minnesota,August,2021,3251,5639632,0.0006
Missouri,August,2021,11029,6137428,0.0018
New Hampshire,August,2021,838,1359711,0.0006
New Mexico,August,2021,3021,2096829,0.0014
New York,August,2021,0,19453561,0.0000
North Carolina,August,2021,9033,10488084,0.0009
North Dakota,August,2021,980,762062,0.0013
Ohio,August,2021,0,11689100,0.0000
Oregon,August,2021,43,4217737,0.0000
Pennsylvania,August,2021,33698,12801989,0.0026
Rhode Island,August,2021,796,1059361,0.0008
South Carolina,August,2021,3164,5148714,0.0006
South Dakota,August,2021,0,884659,0.0000
Utah,August,2021,219,3205958,0.0001
Vermont,August,2021,71,623989,0.0001
Washington,August,2021,0,7614893,0.0000
Washington D.C.,August,2021,0,705749,0.0000
Wisconsin,August,2021,0,5822434,0.0000
Arizona,September,2021,0,4903185,0.0000
