State,Month,Year,Number of Disconnections,Total Connections,Disconnection Rate
Pennsylvania,August,2020,0,1300000,0
Pennsylvania,August,2021,44143,1400000,0.44143
Pennsylvania,December,2020,257,1400000,0.00257
Pennsylvania,December,2021,1053,1400000,0.01053
Pennsylvania,February,2020,39,400000,0.00039
Pennsylvania,February,2021,595,1400000,0.00595
Pennsylvania,January,2020,20,300000,0.0002
Pennsylvania,January,2021,2090,1400000,0.0209
Pennsylvania,July,2020,0,1300000,0
Pennsylvania,July,2021,36406,1400000,0.36406
Pennsylvania,June,2020,0,900000,0
Pennsylvania,June,2021,47809,1400000,0.47809
Pennsylvania,March,2020,0,100000,0
Pennsylvania,March,2021,2210,800000,0.0221
Pennsylvania,May,2020,0,900000,0
Pennsylvania,May,2021,38209,1400000,0.38209
Pennsylvania,November,2020,887,1400000,0.00887
Pennsylvania,November,2021,24429,1400000,0.24429
Pennsylvania,October,2020,0,1400000,0
Pennsylvania,October,2021,33467,1400000,0.33467
Pennsylvania,September,2020,0,1300000,0
Pennsylvania,September,2021,34370,1400000,0.3437
Rhode Island,April,2020,0,200000,0
Rhode Island,April,2021,0,200000,0
Rhode Island,August,2020,0,200000,0
Rhode Island,August,2021,1005,200000,0.01005
Rhode Island,December,2020,0,200000,0
Rhode Island,December,2021,105,200000,0.00105
Rhode Island,February,2020,28,200000,0.00028
Rhode Island,February,2021,0,200000,0
Rhode Island,January,2020,0,200000,0
Rhode Island,January,2021,0,200000,0
Rhode Island,July,2020,0,200000,0
Rhode Island,July,2021,1757,200000,0.01757
Rhode Island,June,2020,0,200000,0
Rhode Island,June,2021,0,200000,0
Rhode Island,March,2020,24,200000,0.00024
Rhode Island,March,2021,0,200000,0
Rhode Island,May,2020,0,200000,0
Rhode Island,May,2021,0,200000,0
