State,Year,Month,Number of Disconnections,Total Connections,Disconnection Rate,code
Maine,2007,July,2443.0,566381.0,0.00431335090689836,ME
Maine,2007,June,3304.0,566381.0,0.005833529020217839,ME
Maine,2007,March,365.0,566381.0,0.0006444425219066318,ME
Maine,2007,May,4730.0,566381.0,0.008351268845529777,ME
Maine,2007,November,2280.0,566381.0,0.0040255587669784125,ME
Maine,2007,October,534.0,566381.0,0.0009428282375291544,ME
Maine,2007,September,2678.0,566381.0,0.004728265955249205,ME
Maine,2008,April,896.0,569221.0,0.0015740810686886112,ME
Maine,2008,August,3025.0,569221.0,0.005314280393731082,ME
Maine,2008,December,4.0,569221.0,7.027147628074157e-06,ME
Maine,2008,February,7.0,569221.0,1.2297508349129775e-05,ME
Maine,2008,January,12.0,569221.0,2.1081442884222474e-05,ME
Maine,2008,July,4039.0,569221.0,0.0070956623174478805,ME
Maine,2008,June,4025.0,569221.0,0.007071067300749621,ME
Maine,2008,March,13.0,569221.0,2.283822979124101e-05,ME
Maine,2008,May,4811.0,569221.0,0.008451901809666193,ME
Maine,2008,November,1615.0,569221.0,0.0028372108548349413,ME
Maine,2008,October,3469.0,569221.0,0.006094293780447313,ME
Maine,2008,September,3540.0,569221.0,0.0062190256508456295,ME
Maine,2009,April,1562.0,570157.0,0.002739596286636839,ME
Maine,2009,August,3423.0,570157.0,0.006003609532111331,ME
Maine,2009,December,40.0,570157.0,7.015611489466936e-05,ME
Maine,2009,February,17.0,570157.0,2.981634883023448e-05,ME
Maine,2009,January,13.0,570157.0,2.2800737340767543e-05,ME
Maine,2009,July,3647.0,570157.0,0.006396483775521479,ME
Maine,2009,June,4844.0,570157.0,0.00849590551374446,ME
Maine,2009,March,16.0,570157.0,2.8062445957867744e-05,ME
Maine,2009,May,6311.0,570157.0,0.011068881027506458,ME
Maine,2009,November,1356.0,570157.0,0.0023782922949292912,ME
Maine,2009,October,3756.0,570157.0,0.006587659188609453,ME
